label,question_id,question_type,query_type,question,gold_answer,n_evidence
Q109,mh-tem-108-no,temporal_query,hybrid,"Was there inconsistency in the promotional offers reported by Sporting News on September 26, 2023, regarding the Caesars Sportsbook promo for new sign-ups in Vermont, and by CBSSports.com on October 13, 2023, about the Caesars Sportsbook offer for new customers?","no",3
Q110,mh-tem-109-no,temporal_query,hybrid,"Between the TechCrunch article published on October 31, 2023, regarding Google's financial strategies to maintain its default search engine status, and the TechCrunch article on November 13, 2023, covering similar aspects of Google's expenditures for default search engine positioning, was there a discrepancy in the reported amount Google spent in 2021?","no",3
Q111,mh-tem-110-no,temporal_query,hybrid,"Was there no change in OpenAI's strategic focus as reported by TechCrunch between the report on the launch of GPT-4 with vision on September 28, 2023, and the report on the push for an ""app store for AI"" as the primary platform for AI tools on December 19, 2023?","no",3
Q112,mh-tem-111-no,temporal_query,hybrid,"Was there no change in the portrayal of Google's impact on the industry between the TechCrunch article on Google's Gemini and its performance claims, and the TechCrunch report on the class action antitrust suit against Google?","no",3
Q113,mh-tem-112-no,temporal_query,hybrid,"Was there no change in the portrayal of Sam Altman's professional conduct between the TechCrunch report on Sam Altman's involvement with a teen's AI startup published on October 7, 2023, and the TechCrunch report suggesting Sam Altman was being fully truthful with the board published on November 18, 2023?","no",3
Q114,mh-tem-113-no,temporal_query,hybrid,"Was there inconsistency in the portrayal of the accusations against Sam Bankman-Fried between the TechCrunch report on Sam Bankman-Fried's trial published on October 1, 2023, and the TechCrunch report on the allegations against Sam Bankman-Fried published on October 7, 2023?","no",3
Q115,mh-tem-114-no,temporal_query,hybrid,"Between the TechCrunch report on Epic Games' antitrust battle with Google published on November 6, 2023, and the TechCrunch report on a news publisher filing a class action antitrust suit against Google published on December 15, 2023, was there inconsistency in the portrayal of Google's anticompetitive allegations?","no",3
Q116,mh-tem-115-no,temporal_query,hybrid,"Between the Sporting News report on Kenneth Walker III's injury impact for fantasy football published on November 21, 2023, and the Sporting News report on the fantasy implications if Kenneth Walker III remains out with his oblique injury published on December 7, 2023, was there inconsistency in how the potential absence of Kenneth Walker III was addressed in terms of fantasy football strategy?","no",3
Q117,mh-tem-116-no,temporal_query,hybrid,"Between the report by Business Today | Latest Stock Market And Economy News India on an event involving Israel published on October 7, 2023, and the reports by Fortune on the situation in Gaza involving Israel published on October 13, 2023, was there no change in the status of Israel's actions regarding Gaza?","no",3
Q118,mh-tem-117-no,temporal_query,hybrid,"Has the narrative around the All Blacks' team focus and performance in The Roar | Sports Writers Blog articles remained consistent from the report defending a star centre after a loss to Argentina to the analysis of their playing for individual accolades, and finally to their actions in the dramatic final against the Springboks?","no",3
Q119,mh-tem-118-no,temporal_query,hybrid,"Was there no change in the assessment of Brock Purdy's performance after the CBSSports.com report published on October 4, 2023, and the subsequent CBSSports.com analysis of his play under pressure published on October 18, 2023?","no",3
Q120,mh-tem-119-no,temporal_query,hybrid,"Was the reporting of Taylor Swift and Travis Kelce's relationship status consistent between the report from CBSSports.com published on October 12, 2023, and the report from The Independent - Life and Style published on December 6, 2023?","no",3
Q121,mh-tem-120-no,temporal_query,hybrid,"Before the TechCrunch report on Sam Altman backing a teen's AI startup published on October 7, 2023, compared to the TechCrunch report suggesting Sam Altman was not being fully truthful with the board published on November 18, 2023, was there a change in the portrayal of Sam Altman's professional conduct?","no",3
Q122,mh-tem-121-no,temporal_query,hybrid,"Between the report from The Age on the Sydney Swans' position in the AFLW standings published on October 20, 2023, and the subsequent report from The Age on the Sydney Swans' standings published on November 3, 2023, was there no change in the Sydney Swans' ranking in the AFLW?","no",3
Q123,mh-tem-122-no,temporal_query,hybrid,"Between the report from Fortune on Sam Bankman-Fried's use of Caroline Ellison as a front at Alameda Research published on October 4, 2023, and the TechCrunch report alleging Sam Bankman-Fried's instructions to Caroline Ellison to take customer funds published on October 6, 2023, was there inconsistency in the portrayal of Sam Bankman-Fried's involvement in the misuse of customer funds?","no",3
Q124,mh-tem-123-no,temporal_query,hybrid,"Between the Sporting News report on Inter Miami's season ticket prices following Lionel Messi's arrival published on October 4, 2023, and the Sporting News report on Inter Miami's inclusion in the MLS playoffs published on October 7, 2023, was there a change in the team's postseason prospects as reported by the news source?","no",3
Q125,mh-tem-124-no,temporal_query,hybrid,"Between the report from The Verge on the Epic v. Google case and the subsequent report from TechCrunch on the same case, was there disagreement on the nature of Epic Games' arguments against Google?","no",3
Q126,mh-tem-125-no,temporal_query,hybrid,"Between the TechCrunch report on Sam Bankman-Fried's legal situation published after October 2, 2023, and The Verge's coverage of Sam Bankman-Fried's testimony, was there a change in the narrative regarding his ability to manage FTX and Alameda Research?","No",3
Q127,mh-tem-126-no,temporal_query,hybrid,"Between the TechCrunch report on EU's call for AI safeguards related to deepfake election risks and the subsequent TechCrunch report on a news publisher filing an antitrust suit against Google, citing AI's harm to their bottom line, was there a change in the portrayal of Google's involvement with AI-related issues?","No",3
Q128,mh-tem-127-no,temporal_query,hybrid,"Between the report from The Verge on Apple's defense of its Google Search deal published on September 26, 2023, and the TechCrunch article detailing the Google antitrust case published on October 31, 2023, was there disagreement on the financial impact of Google's deals to maintain its default search engine status on various platforms?","no",3
Q129,mh-tem-128-no,temporal_query,hybrid,"Between the TechCrunch report on OpenAI's launch of GPT-3 without vision and the TechCrunch report on OpenAI's push for an ""app store for AI"" as the primary platform for obtaining AI tools, was there a change in OpenAI's strategic focus as reported by TechCrunch?","no",3
Q130,mh-tem-129-no,temporal_query,hybrid,"Was there inconsistency in the portrayal of Google's competitive practices after the TechCrunch report on Google's antitrust case published on October 31, 2023, or the TechCrunch report on the class action antitrust suit against Google published on December 15, 2023?","no",3
Q131,mh-tem-130-no,temporal_query,hybrid,"Was the information about the improvements in the new iteration of the Steam Deck inconsistent after the Polygon report on the Steam Deck OLED published at 18:00:00 on November 9, 2023, and the Engadget review of the Steam Deck OLED published at 18:00:38 on the same day?","no",3
Q132,mh-tem-131-no,temporal_query,hybrid,"Did TechCrunch fail to maintain consistency in reporting on Google's competitive practices in their November 6, 2023, article about Epic Games' antitrust battle with Google or in the December 15, 2023, article about a news publisher's antitrust suit against Google?","no",3
Q133,mh-tem-132-no,temporal_query,hybrid,"Was there inconsistency in the TechCrunch reports on Google's engagement in anticompetitive behavior between the report on Epic Games' antitrust battle with Google published on November 6, 2023, and the report on the news publisher's antitrust suit against Google published on December 15, 2023?","no",3
Q134,mh-tem-133-no,temporal_query,hybrid,"Between the report by The Verge on Apple's defense of its Google Search deal published on September 26, 2023, and the report by TechCrunch on the antitrust suit filed against Google citing AI's impact on news publishers' revenue published on December 15, 2023, was there a change in the portrayal of Google's business practices as anticompetitive?","No",3
Q135,mh-tem-134-no,temporal_query,hybrid,"Did the TechCrunch report on Sam Bankman-Fried after the start of his trial and the subsequent TechCrunch report mentioning the prosecution's allegations against Sam Bankman-Fried portray his actions inconsistently?","no",3
Q136,mh-tem-135-no,temporal_query,hybrid,"Between the report from 'The Age' on September 26, 2023, regarding Taylor Swift's interaction with Travis Kelce and the report from 'The Independent - Life and Style' on December 6, 2023, was there no change in the reporting of their relationship status?","no",3
Q137,mh-tem-136-no,temporal_query,hybrid,"Between the report from The Verge on Sam Bankman-Fried's role in the cryptocurrency industry and the Fortune article discussing Sam Bankman-Fried's influence on Adam Yedidia's career decisions, was there agreement in the portrayal of Sam Bankman-Fried's trustworthiness and influence?

Between the report from TechCrunch on Sam Bankman-Fried's alleged fraudulent activities and the earlier report from The Verge on his representation in the cryptocurrency industry, has the narrative around Sam Bankman-Fried's public image remained consistent?","No",3
Q138,mh-tem-137-no,temporal_query,hybrid,"Was there inconsistency in the portrayal of Sam Bankman-Fried's actions related to the FTX exchange between the TechCrunch report published on October 1, 2023, and the Fortune report on the opening statements in the same trial published on October 4, 2023?","no",3
Q139,mh-tem-138-no,temporal_query,hybrid,"Between the report from The Age on October 22, 2022, regarding Google's manipulation of search results to maximize ad revenue, and the TechCrunch report on December 15, 2023, about a class action antitrust suit filed against Google citing AI's harms to news publishers' bottom lines, is the portrayal of Google's business practices inconsistent?","no",3
Q140,mh-tem-139-no,temporal_query,hybrid,"Did TechCrunch report on Google's antitrust battle with Epic Games on November 6, 2024, and then report on a class action antitrust suit against Google on December 15, 2023, resulting in an inconsistent portrayal of Google's legal challenges related to anticompetitive practices?","no",3
Q141,mh-tem-140-no,temporal_query,hybrid,"Was there inconsistency in the portrayal of Sam Bankman-Fried's involvement in the FTX collapse between the TechCrunch report published on October 6, 2023, and the TechCrunch report published on October 7, 2023?","no",3
Q142,mh-tem-141-no,temporal_query,hybrid,"Was the reporting of the status of Taylor Swift and Travis Kelce's relationship consistent between the report from CBSSports.com published on October 12, 2023, and the report from The Independent - Life and Style published on December 6, 2023?","no",3
Q143,mh-tem-142-no,temporal_query,hybrid,"Between the Sporting News report on NBA Rookie of the Year odds published on October 4, 2023, and the Sporting News report on line shopping in sports betting published on November 6, 2023, was there a change in how Sportsbooks adjust and tighten betting lines based on gathered information?","No",3
Q144,mh-tem-143-no,temporal_query,hybrid,"Between the TechCrunch report on Sam Bankman-Fried's trial and the subsequent TechCrunch report on the allegations against him, was there no change in the portrayal of his actions related to the FTX situation?","no",3
Q145,mh-tem-144-no,temporal_query,hybrid,"Between the report from The Verge on Apple's defense of its Google Search deal published on September 26, 2023, and the class action antitrust suit against Google reported by TechCrunch, was there no change in the portrayal of Google's business practices related to competition and market dominance?","no",3
Q146,mh-tem-145-no,temporal_query,hybrid,"Was the Zee Business report on the India national cricket team's performance in the ICC World Cup semi-finals published on November 18, 2023, and the Zee Business report on the India national cricket team's head-to-head record with Australia in ODI World Cup matches published on November 11, 2023, inconsistent in their reporting on India's past encounters with Australia in the World Cup?","no",3
Q147,mh-tem-146-no,temporal_query,hybrid,"Did 'The Independent - Life and Style' change their reporting on the nature of Taylor Swift and Travis Kelce's relationship in their later article published on October 30, 2023, even though 'The Age' reported on September 26, 2023, about Taylor Swift and Travis Kelce leaving the stadium together, and 'The Independent - Life and Style' on the same date noted Taylor Swift cheering on Travis Kelce at Arrowhead Stadium?","no",3
Q148,mh-tem-147-no,temporal_query,hybrid,"Between the Sporting News report on NBA betting sites and apps published on October 2, 2023, and the Sporting News report on point spread betting published on November 1, 2023, was the reporting on how sportsbooks adjust their betting lines inconsistent?","no",3
Q149,mh-tem-148-no,temporal_query,hybrid,"Was there inconsistency in the portrayal of Sam Bankman-Fried's actions related to the FTX collapse between the TechCrunch report published on October 6, 2023, and the TechCrunch report on Sam Bankman-Fried published on October 7, 2023?","no",3
Q150,mh-tem-149-no,temporal_query,hybrid,"Was there disagreement between the two news sources on the portrayal of Sam Altman's standing in Silicon Valley after the TechCrunch report on Sam Altman's situation at OpenAI published on a date other than November 18, 2023, and the subsequent Fortune report on the same day regarding the board's actions?","no",3
